,Date,AAPL,GOOG,MSFT
"1-1",2004-08-19,2.1899999999999999,50.119999999999997,27.120000000000001
"2-1",2004-08-20,2.2000000000000002,54.100000000000001,27.199999999999999
"3-1",2004-08-23,2.2200000000000002,54.649999999999999,27.239999999999998
"4-1",2004-08-24,2.2799999999999998,52.380000000000003,27.239999999999998
"5-1",2004-08-25,2.3599999999999999,52.950000000000003,27.550000000000001
"6-1",2004-08-26,2.48,53.899999999999999,27.440000000000001
"7-1",2004-08-27,2.4500000000000002,53.020000000000003,27.460000000000001
"8-1",2004-08-30,2.4399999999999999,50.950000000000003,27.300000000000001
"9-1",2004-08-31,2.46,51.130000000000003,27.300000000000001
"10-1",2004-09-01,2.5600000000000001,50.07,27.390000000000001
"11-1",2004-09-02,2.5499999999999998,50.700000000000003,27.620000000000001
"12-1",2004-09-03,2.52,49.950000000000003,27.109999999999999
"13-1",2004-09-07,2.5499999999999998,50.740000000000002,27.359999999999999
"14-1",2004-09-08,2.6000000000000001,51.100000000000001,27.260000000000002
"15-1",2004-09-09,2.5499999999999998,51.100000000000001,27.280000000000001
"16-1",2004-09-10,2.5600000000000001,52.609999999999999,27.489999999999998
"17-1",2004-09-13,2.54,53.700000000000003,27.25
"18-1",2004-09-14,2.54,55.689999999999998,27.440000000000001
"19-1",2004-09-15,2.5099999999999998,55.939999999999998,27.190000000000001
"20-1",2004-09-16,2.6000000000000001,56.93,27.260000000000002
"21-1",2004-09-17,2.6499999999999999,58.689999999999998,27.510000000000002
"22-1",2004-09-20,2.6899999999999999,59.619999999999997,27.510000000000002
"23-1",2004-09-21,2.7200000000000002,58.859999999999999,27.260000000000002
"24-1",2004-09-22,2.6400000000000001,59.130000000000003,27.120000000000001
"25-1",2004-09-23,2.6600000000000001,60.350000000000001,27.350000000000001
"26-1",2004-09-24,2.6600000000000001,59.859999999999999,27.289999999999999
"27-1",2004-09-27,2.6800000000000002,59.07,27.190000000000001
"28-1",2004-09-28,2.7200000000000002,63.369999999999997,27.27
"29-1",2004-09-29,2.7599999999999998,65.469999999999999,27.579999999999998
"30-1",2004-09-30,2.77,64.739999999999995,27.649999999999999
"31-1",2004-10-01,2.7599999999999998,66.219999999999999,28.25
"32-1",2004-10-04,2.77,67.459999999999994,28.120000000000001
"33-1",2004-10-05,2.8100000000000001,69.120000000000005,28.379999999999999
"34-1",2004-10-06,2.8999999999999999,68.469999999999999,28.530000000000001
"35-1",2004-10-07,2.8300000000000001,69.359999999999999,28.170000000000002
"36-1",2004-10-08,2.79,68.799999999999997,27.989999999999998
"37-1",2004-10-11,2.7599999999999998,67.560000000000002,28.059999999999999
"38-1",2004-10-12,2.7400000000000002,68.629999999999995,28.030000000000001
"39-1",2004-10-13,2.8399999999999999,70.379999999999995,28.030000000000001
"40-1",2004-10-14,3.21,70.930000000000007,27.800000000000001
"41-1",2004-10-15,3.25,71.980000000000004,27.989999999999998
"42-1",2004-10-18,3.4100000000000001,74.510000000000005,28.41
"43-1",2004-10-19,3.3900000000000001,73.900000000000006,28.18
"44-1",2004-10-20,3.3900000000000001,70.170000000000002,28.699999999999999
"45-1",2004-10-21,3.4199999999999999,74.620000000000005,28.559999999999999
"46-1",2004-10-22,3.3900000000000001,86.129999999999995,27.739999999999998
"47-1",2004-10-25,3.3999999999999999,93.609999999999999,27.629999999999999
"48-1",2004-10-26,3.4300000000000002,90.810000000000002,27.899999999999999
"49-1",2004-10-27,3.5899999999999999,92.890000000000001,28.149999999999999
"50-1",2004-10-28,3.73,96.549999999999997,28.010000000000002
"51-1",2004-10-29,3.7400000000000002,95.219999999999999,27.969999999999999
"52-1",2004-11-01,3.75,97.920000000000002,28.079999999999998
"53-1",2004-11-02,3.8199999999999998,97.340000000000003,28.239999999999998
"54-1",2004-11-03,3.9500000000000002,95.739999999999995,28.469999999999999
"55-1",2004-11-04,3.8900000000000001,92.260000000000005,29
"56-1",2004-11-05,3.9100000000000001,84.590000000000003,29.309999999999999
"57-1",2004-11-08,3.8799999999999999,86.189999999999998,29.280000000000001
"58-1",2004-11-09,3.8599999999999999,84.269999999999996,29.77
"59-1",2004-11-10,3.9100000000000001,83.849999999999994,29.73
"60-1",2004-11-11,3.9500000000000002,91.420000000000002,29.98
"61-1",2004-11-12,3.96,90.909999999999997,29.969999999999999
"62-1",2004-11-15,3.9500000000000002,92.340000000000003,27.390000000000001
"63-1",2004-11-16,3.9199999999999999,86.189999999999998,27.120000000000001
"64-1",2004-11-17,3.9199999999999999,86.159999999999997,27.170000000000002
"65-1",2004-11-18,3.96,83.689999999999998,27.07
"66-1",2004-11-19,3.9399999999999999,84.620000000000005,26.859999999999999
"67-1",2004-11-22,4.3799999999999999,82.469999999999999,26.649999999999999
"68-1",2004-11-23,4.3799999999999999,83.680000000000007,26.530000000000001
"69-1",2004-11-24,4.5800000000000001,87.290000000000006,26.640000000000001
"70-1",2004-11-26,4.6100000000000003,89.609999999999999,26.600000000000001
"71-1",2004-11-29,4.8899999999999997,90.430000000000007,26.77
"72-1",2004-11-30,4.79,90.900000000000006,26.809999999999999
"73-1",2004-12-01,4.8399999999999999,89.890000000000001,27.25
"74-1",2004-12-02,4.6600000000000001,89.609999999999999,27.09
"75-1",2004-12-03,4.4800000000000004,90.109999999999999,27.23
"76-1",2004-12-06,4.7000000000000002,88.060000000000002,27.329999999999998
"77-1",2004-12-07,4.4900000000000002,85.629999999999995,27.07
"78-1",2004-12-08,4.5199999999999996,84.909999999999997,27.359999999999999
"79-1",2004-12-09,4.5700000000000003,86.629999999999995,27.23
"80-1",2004-12-10,4.6500000000000004,85.739999999999995,27.079999999999998
"81-1",2004-12-13,4.6399999999999997,85.140000000000001,27.25
"82-1",2004-12-14,4.6600000000000001,89.260000000000005,27.23
"83-1",2004-12-15,4.6600000000000001,89.799999999999997,27.109999999999999
"84-1",2004-12-16,4.7599999999999998,88.150000000000006,27.16
"85-1",2004-12-17,4.6399999999999997,89.950000000000003,26.960000000000001
"86-1",2004-12-20,4.4800000000000004,92.420000000000002,26.949999999999999
"87-1",2004-12-21,4.5499999999999998,91.780000000000001,27.07
"88-1",2004-12-22,4.5499999999999998,93.060000000000002,26.969999999999999
"89-1",2004-12-23,4.5700000000000003,93.859999999999999,27.010000000000002
"90-1",2004-12-27,4.5099999999999998,95.859999999999999,26.850000000000001
"91-1",2004-12-28,4.5800000000000001,96.280000000000001,26.949999999999999
"92-1",2004-12-29,4.5999999999999996,96.349999999999994,26.899999999999999
"93-1",2004-12-30,4.6299999999999999,98.700000000000003,26.760000000000002
"94-1",2004-12-31,4.5999999999999996,96.299999999999997,26.719999999999999
"95-1",2005-01-03,4.5199999999999996,101.25,26.739999999999998
"96-1",2005-01-04,4.5700000000000003,97.150000000000006,26.84
"97-1",2005-01-05,4.6100000000000003,96.659999999999997,26.780000000000001
"98-1",2005-01-06,4.6100000000000003,94.180000000000007,26.75
"99-1",2005-01-07,4.9500000000000002,96.829999999999998,26.670000000000002
"100-1",2005-01-10,4.9299999999999997,97.430000000000007,26.800000000000001
"101-1",2005-01-11,4.6100000000000003,96.670000000000002,26.73
"102-1",2005-01-12,4.6799999999999997,97.590000000000003,26.780000000000001
"103-1",2005-01-13,4.9900000000000002,97.569999999999993,26.27
"104-1",2005-01-14,5.0099999999999998,99.890000000000001,26.120000000000001
"105-1",2005-01-18,5.0499999999999998,101.84999999999999,26.32
"106-1",2005-01-19,4.9900000000000002,98.549999999999997,25.98
"107-1",2005-01-20,5.0300000000000002,96.859999999999999,25.859999999999999
"108-1",2005-01-21,5.04,94.049999999999997,25.649999999999999
"109-1",2005-01-24,5.0499999999999998,90.269999999999996,25.670000000000002
"110-1",2005-01-25,5.1500000000000004,88.469999999999999,26.02
"111-1",2005-01-26,5.1600000000000001,94.530000000000001,26.010000000000002
"112-1",2005-01-27,5.1900000000000004,93.950000000000003,26.109999999999999
"113-1",2005-01-28,5.2800000000000002,95.069999999999993,26.18
"114-1",2005-01-31,5.4900000000000002,97.709999999999994,26.280000000000001
"115-1",2005-02-01,5.54,95.849999999999994,26.390000000000001
