Grp,Ethyl propanoate, Ethyl-2-methyl propanoate, n-Propyl acetate,Methyl butanoate,Isobutylacetate,ethyl butanoate,Ethyl 2-methylbutyrate,butyl acetate,3-Methylbutyl acetate,Ethyl pentanoate,pentyl acetate,ethylhexanoate,hexyl acetate,(Z)-3-hexenyl acetate,Ethyl 2-hexenoate,heptyl acetate,ethyl octanoate,ethyl decanoate,2-phenylethyl acetate,1-Propanol,2-methyl-1-Propanol,1-Butanol,1-Pentanol,3-methyl-1-pentanol,1-Hexanol,(Z)-3-Hexen-1-ol,3-Octanol,(Z)-2-Hexen-1-ol,1-Heptanol,2-Ethyl-1-Hexanol,1-Octanol,Phenylethyl Alcohol,2-methyl Propanal,2-methyl-Butanal,3-methyl-Butanal,Pentanal,Hexanal,3-Hexenal,Octanal,Nonanal,Benzaldehyde,trans-2-Hexenal,2-Pentanone,3-Pentanone,6-methyl-5-hepten-2-on,2-Nonanone
1A-0,0,0,0.01351441,0.001311177,0.016633901,0.013575482,0.009696914,0.718012838,0.159674805,6.74E-05,0.00302764,0.000119752,0.065996251,0.000843264,4.05E-05,0,7.17E-05,0.00016392,0,0.244254485,5.305466884,3.703046538,0.136895318,0.001909604,2.416964875,0.080908216,0.000229163,0.004000638,0.013195149,0.010278152,0.007920219,0.019064046,0.038198401,0.010046096,0.020226513,0.00618846,0.049101838,0.02493765,0.003576714,0.005815046,0.007774618,0.036365799,0.009591956,0.024154864,0.002891708,0.000368528
1A-11,0.070513256,0.007179192,0.013880077,0.000395252,0.057080222,0.044177904,0.008395008,0.269881361,0.407145623,0.00061911,0.000494316,0.164538196,0.04333598,0.000351287,0.000565814,0.000105795,0.049021651,0.00762942,0.036241621,1.401904918,111.1917245,2.045191673,0.206936406,0.031771035,3.321654177,0.080476282,0.002414576,0.004020386,0.050542903,0.008925503,0.010972392,18.97515372,0.028686527,0.003687214,0.012540741,0.001513615,0.007541587,0.000366157,0.002462072,0.005050157,0.003802168,0,0.005894811,0.016516645,0.002149983,0.000406549
1B-0,0,0,0.012715869,0.001216298,0.01548097,0.012877208,0.009068842,0.699630212,0.152895296,6.20E-05,0.003037516,0.000136243,0.065109299,0.000845815,3.36E-05,0,0,0,0,0.244404938,4.54001019,3.526432936,0.128192421,0.001636136,2.436650751,0.086644219,0.000241779,0.005421013,0.0128638,0.011827295,0.008030407,0.02146365,0.031526139,0.008377743,0.017638843,0.005927305,0.045344267,0.053657106,0.001852046,0.002494589,0.006234885,0.048244647,0.009414017,0.021202033,0.002966623,0.000329765
1B-11,0.094475057,0.010485649,0.019281768,0.000555095,0.07928347,0.067785578,0.01516057,0.394775092,0.682753597,0.000981446,0.001824227,0.27346587,0.100574625,0.000712367,0.001138959,0.000289293,0.085049036,0.003487394,0.020875935,1.424376194,134.876472,2.386329433,0.224189032,0.035625653,3.376236487,0.07763479,0.003701356,0.003641077,0.06017024,0.007844902,0.010410503,6.794087269,0.043117467,0.008004078,0.024304432,0.001989208,0.012120692,0.000385937,0.0017951,0.004212305,0.002768101,0,0.007377381,0.020982508,0.002800808,0.000304242
2A-0,0,0,0.012955098,0.001284301,0.016609988,0.013922035,0.009888627,0.722016342,0.161955879,8.64E-05,0.003025112,9.80E-05,0.060846239,0.000825577,0,0,0,0,0,0.353116058,8.902695741,3.748324875,0.139614792,0.001222169,2.997136398,0.091185095,0.000283243,0.028888182,0.025476539,0.011061888,0.007002154,0.028786339,0.05916235,0.006699827,0.001530655,0.003328949,0.057181689,0.022727557,0.001421657,0.002761046,0.002401396,0.023618487,0.010376059,0.024683875,0.003001396,0.000196328
2A-3,0.008563814,0.000145901,0.015737488,0.001268124,0.02161621,0.007290565,0.00794179,0.26381669,0.049133353,7.88E-05,0,0.002143081,0.005339769,4.42E-05,0.000188302,3.49E-05,0.000150701,0,0,1.975637269,168.6941398,3.888272815,0.169287897,0.002604836,3.963988768,0.096187443,0.007769657,0.025459046,0.01291409,0.008363923,0.001259433,0.767504102,0.033764464,0.002023045,0.006292452,0.002382148,0.013594233,0.00040313,0.002240294,0.003819415,0.002990322,0,0.009645222,0.027664307,0.002629234,0.000267451
2A-11,0.109674633,0.001728945,0.048652578,0.000474749,0.156477388,0.029366587,0.005941509,0.029876699,0.249857904,0.001063724,0.00038715,0.163900982,0.007387508,4.27E-05,0.000902346,3.93E-05,0.014462324,0.00168783,0.001119383,0.192402613,114.2483342,1.621646623,0.168703575,0.005886606,3.217782788,0.091848326,0.015719211,0.01949765,0.00454825,0.01387608,0.004534116,11.17247627,0.008408841,0.004020463,0.011882958,0.001291276,0.013131683,0.000319036,0.002323575,0.005357527,0.002580314,0.001494031,0.00525528,0.014734221,0.000691036,0.000188242
2B-0,0,0,0.013465439,0.00132975,0.017089784,0.014286333,0.010337668,0.724574768,0.163351149,8.58E-05,0.003056865,9.60E-05,0.060528587,0.000801188,0,0,0,0,0,0.245914694,7.598921541,3.508894914,0.133600531,0.000628699,2.89016023,0.086382414,0.000275024,0.029393828,0.023800883,0.01075797,0.00599634,0.021488503,0.048878107,0.006195192,0.001301976,0.003666473,0.060364828,0.030286363,0.001479375,0.002421482,0.005067095,0.025752241,0.010364737,0.02506457,0.002820233,0.000192945
2B-3,0.009842338,0.000168421,0.013973891,0.001168553,0.020596164,0.006805408,0.007445898,0.200941076,0.038660039,9.14E-05,0,0.002735233,0.006147831,0.000032261,0.000226624,0.000040406,0.000189841,0,0,1.529126828,159.4090532,3.568361797,0.167654538,0.003010349,3.887668062,0.097782818,0.008506261,0.026696326,0.011110163,0.008133048,0.001254809,3.10749834,0.029751369,0.001187977,0.005271377,0.002023743,0.011805158,0.000389504,0.001555483,0.00307068,0.002303069,0.000609845,0.008159373,0.025925556,0.002524368,0.000164492
2B-11,0.170242679,0.002592161,0.061480806,0.000528108,0.187754413,0.032816044,0.007960114,0.021919874,0.180627053,0.001082194,0.000235457,0.128406735,0.00628903,0,0.000896769,4.44E-05,0.008085548,0.001130881,0.000970305,0.172600106,136.7006611,1.810012436,0.196630789,0.007313624,3.237717824,0.09716028,0.016526827,0.018984465,0.00366866,0.010744821,0.003048093,23.53388023,0.003927119,0.002048033,0.0065634,0.000996419,0.009919945,0.000366893,0.001823233,0.004632554,0.001868245,0.000793037,0.004825198,0.017015377,0.000659567,0.000145005
3A-0,0.00358238,0,0.026267488,0.001454013,0.022053673,0.015711348,0.010290724,0.869500606,0.219456648,0.000107887,0.008050485,0.000140089,0.269560511,0.003177032,0,0.000295607,0.000155682,0.000168368,0.00094476,0.42673073,5.471613206,3.79953501,0.124274596,0.001017956,3.84516421,0.084876594,0.000577885,0.002662986,0.077912757,0.013072041,0.027192341,0.013549748,0.042588486,0.003392137,0.000775824,0.003800599,0.054056731,0.003890793,0.005308663,0.006965204,0.006126302,0.005719032,0.011500869,0.030363069,0.0029715,0.000674015
